data_signaturen
20.5333
20.5331
20.5330
20.5346
20.5345
20.5350
20.5322
20.5320
20.5318
20.5314
20.5308
20.5307
20.5304
20.5299
20.5289
20.5287
20.5286
20.5283
20.5281
20.5280
20.5271
20.5265
20.5263
20.5257
20.5253
20.5242
20.5239
20.5227
20.5222
20.5221
