Signatur;Geschäftstyp;Partei;Urheber/in;Titel;Beginn-Datum;Ende;Thema 1;Thema 2;Schwerpunkt;Geschäft;Status
21.5220;Anzug;LDP;von Falkenstein, Annina;Anzug Annina von Falkenstein und Konsorten betreffend Nachholbildungsmöglichkeiten bei Defiziten in den Grundkompetenzen Lesen, Schreiben und Rechnen;2021-04-14;;Hochschulen & Weiterbildung;;Gesellschaftlicher Zusammenhalt;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110880;B
21.5219;Anzug;LDP;von Falkenstein, Annina;Anzug Annina von Falkenstein und Konsorten betreffend Streichung der Mitgliedgebühren der IWB App Enerjoy;2021-04-14;;Energieversorgung;Klima & Luft;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110879;B
21.5214;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Wahl-Couvert im Müll;2021-03-10;;Politische Beteiligung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110876;A
21.5213;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Verbotene Aktion der Grünen Basel-Stadt;2021-03-10;;Gestaltung & Infrastruktur;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110875;A
21.5211;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Kanton stellt sich schützend vor Mitarbeiter;2021-03-10;;Polizei & Kriminalität;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110873;A
21.5215;Motion;;Leuthardt, Beat;Motion Beat Leuthardt und Konsorten betreffend Eifachs Uusestuehle für d'Baize und für uns alli;2021-04-14;;Nutzung & Regulierung;Privatwirtschaft & Standort;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110857;B
21.5191;Interpellation;FDP;Urgese, Luca;Interpellation Nr. 32 Luca Urgese betreffend Covid-19-bedingte Studienabbrüche verhindern;2021-03-10;;Hochschulen & Weiterbildung;Arbeitsmarkt;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110845;A
21.5189;Interpellation;SVP;Hablützel-Bürki, Gianna;Interpellation Nr. 30 Gianna Hablützel-Bürki betreffend Bettelnden, Fäkalien und Billettkontrollen;2021-03-10;;Nutzung & Regulierung;Abfall & Recycling;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110843;A
21.5184;Interpellation;SP;Baumgartner, Beda;Interpellation Nr. 25 Beda Baumgartner betreffend «Alkistübli» am Claraplatz;2021-03-10;;Nutzung & Regulierung;Gesundheitsförderung;Gesellschaftlicher Zusammenhalt;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110838;A
21.5183;Interpellation;SP;Pfister, Pascal;Interpellation Nr. 24 Pascal Pfister betreffend offene Fragen zum Transformationsareal Klybeck;2021-03-10;;Wohnen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110837;A
21.5121;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend wurden zwei Mitarbeiter entlassen, weil Eric Weber als Grossrat abgewählt wurde?;2021-03-10;;Parlament & Regierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110832;A
21.5120;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend offene WC-Fenster beim RAV, die Männer-diskriminierend sind;2021-03-10;;Gestaltung & Infrastruktur;Gleichstellung der Geschlechter;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110831;A
21.5117;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Grenzgänger in Basel - wie viele sind es?;2021-03-10;;Grenzüberschreitende Zusammenarbeit;Arbeitsmarkt;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110829;A
21.5114;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Schlüsselübergabe im Präsidentenpalast;2021-03-10;;Parlament & Regierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110827;A
21.5166;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend welche Kantine kann man als Grossrat nutzen?;2021-03-10;;Parlament & Regierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110823;A
21.5173;Interpellation;LDP;Hug, Michael;Interpellation Nr. 22 Michael Hug betreffend störende Leuchtreklamen;2021-03-10;;Nutzung & Regulierung;Areale & Quartiere;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110820;A
21.5163;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Basel als Eisenbahnknotenpunkt Europas;2021-03-10;;Öffentlicher Verkehr;Grenzüberschreitende Zusammenarbeit;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110818;A
21.5161;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend glückliches Leben in Basel;2021-03-10;;Sozialversicherungen und -leistungen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110816;A
21.5152;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Demonstrationen in der Nacht;2021-03-10;;Politische Beteiligung;Nutzung & Regulierung;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110809;A
21.5150;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Hilfe - ich bekam eine Einladung vom Sozialdienst;2021-03-10;;Sozialversicherungen und -leistungen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110807;A
